spring valley,ca,2018-12-08,Spring Valley, CA,32.731628,-116.97657,5,50,87,998.0,51
clairemont,ca,2018-12-08,San Diego, CA,32.83456,-117.194412,7,55,82,1011.0,55
chula vista,ca,2018-12-08,Chula Vista, CA,32.628979,-117.013077,5,50,89,1004.0,51
del mar,ca,2018-12-08,Del Mar, CA,32.96347,-117.262459,5,55,79,1015.0,55
court house,nj,2018-12-08,New Jersey, US,40.14323,-74.726707,4,23,74,1030.0,23
bloomington,mn,2018-12-08,Bloomington, MN,44.820492,-93.306358,6,1,85,1001.0,9
cupertino,ca,2018-12-08,Cupertino, CA,37.318958,-122.029282,2,48,87,1007.0,48
mulvane,ks,2018-12-08,Mulvane, KS,37.487179,-97.244408,11,16,85,984.0,24
milwaukee,wi,2018-12-08,Milwaukee, WI,43.041809,-87.906837,17,9,71,1011.0,20
airdrie,ab,2018-12-08,Airdrie, AB,51.282009,-114.013351,14,10,50,889.0,20
aledo,tx,2018-12-08,Aledo, TX,32.696709,-97.606018,22,32,95,989.0,40
tewksbury,ma,2018-12-08,Tewksbury, MA,42.611961,-71.227837,9,12,53,1024.0,20
la jolla,ca,2018-12-08,San Diego, CA,32.84259,-117.27227,6,57,81,1017.0,57
greenbrier,tn,2018-12-08,Greenbrier, TN,36.444031,-86.813248,11,32,71,1004.0,37
stanchfield,mn,2018-12-08,Stanchfield, MN,45.664928,-93.181557,9,1,85,997.0,11
bristol,tn,2018-12-08,Bristol, TN,36.560558,-82.208572,5,30,87,962.0,33
west boylston,ma,2018-12-08,West Boylston, MA,42.369148,-71.784576,9,10,55,1006.0,18
fairport,ny,2018-12-08,Fairport, NY,43.097599,-77.441597,5,18,80,1008.0,22
kenneth city,fl,2018-12-08,Kenneth City, FL,27.815479,-82.71582,17,61,85,1023.0,63
lindenhurst,ny,2018-12-08,Lindenhurst, NY,40.686401,-73.372902,13,16,59,1030.0,24
durham,nc,2018-12-08,Durham, NC,35.99527,-78.896011,7,30,95,1016.0,34
solana beach,ca,2018-12-08,Solana Beach, CA,32.994331,-117.257492,5,55,79,1015.0,55
laguna niguel,ca,2018-12-08,Laguna Niguel, CA,33.527851,-117.705872,4,54,70,1014.0,53
fairfax,va,2018-12-08,Fairfax, VA,38.831539,-77.288612,4,25,73,1020.0,24
corona,ca,2018-12-08,Corona, CA,33.861698,-117.563271,5,52,70,978.0,52
orlando,fl,2018-12-08,Orlando, FL,28.479321,-81.344292,9,57,86,1020.0,58
hallandale beach,fl,2018-12-08,Hallandale, FL,25.98538,-80.142342,18,75,60,1021.0,75
easton,pa,2018-12-08,Easton, PA,40.685768,-75.22094,5,18,77,1013.0,18
upper marlboro,md,2018-12-08,Upper Marlboro, MD,38.81842,-76.751282,4,21,86,1026.0,22
yulee,fl,2018-12-08,Yulee, FL,30.635019,-81.567841,9,46,85,1025.0,49
jamaica,ny,2018-12-08,New York, NY,40.69886,-73.794182,11,18,56,1030.0,26
harker heights,tx,2018-12-08,Harker Heights, TX,31.05781,-97.644318,22,36,97,991.0,43
mesquite,tx,2018-12-08,Mesquite, TX,32.783451,-96.60215,25,36,94,1004.0,43
mitchellville,md,2018-12-08,Mitchellville, MD,38.935799,-76.814537,4,25,76,1026.0,24
burton,mi,2018-12-08,Burton, MI,42.968472,-83.63308,13,10,71,1001.0,20
dayton,oh,2018-12-08,Dayton, OH,39.76918,-84.196999,11,14,81,1001.0,22
la mesa,ca,2018-12-08,La Mesa, CA,32.770409,-117.020767,7,50,89,1002.0,51
encinitas,ca,2018-12-08,Encinitas, CA,33.045429,-117.292511,5,55,83,1016.0,55
gaithersburg,md,2018-12-08,Gaithersburg, MD,39.13496,-77.213852,3,21,84,1016.0,22
san juan capistrano,ca,2018-12-08,San Juan Capistrano, CA,33.502048,-117.655853,4,54,66,1017.0,54
albert lea,mn,2018-12-08,Albert Lea, MN,43.655682,-93.364304,5,18,93,987.0,21
sacramento,ca,2018-12-08,Sacramento, CA,38.56789,-121.468849,5,41,95,1025.0,43
nantucket,ma,2018-12-08,Nantucket, MA,41.285198,-70.099297,30,14,47,1028.0,27
